T,88,150,369,150,366,154,ff000000
T,88,150,366,154,360,157,ff000000
T,88,150,360,157,349,161,ff000000
T,88,150,349,161,334,165,ff000000
T,88,150,334,165,315,168,ff000000
T,88,150,315,168,292,171,ff000000
T,88,150,292,171,267,174,ff000000
T,88,150,267,174,238,177,ff000000
T,88,150,238,177,207,178,ff000000
T,88,150,207,178,174,180,ff000000
T,88,150,174,180,140,181,ff000000
T,88,150,140,181,105,181,ff000000
T,88,150,105,181,70,181,ff000000
T,88,150,70,181,35,181,ff000000
T,88,150,35,181,1,180,ff000000
T,88,150,1,180,-31,178,ff000000
T,88,150,-31,178,-62,177,ff000000
T,88,150,-62,177,-91,174,ff000000
T,88,150,-91,174,-116,171,ff000000
T,88,150,-116,171,-139,168,ff000000
T,88,150,-139,168,-158,165,ff000000
T,88,150,-158,165,-173,161,ff000000
T,88,150,-173,161,-184,157,ff000000
T,88,150,-184,157,-190,154,ff000000
T,88,150,-190,154,-193,150,ff000000
T,88,150,-193,150,-190,145,ff000000
T,88,150,-190,145,-184,142,ff000000
T,88,150,-184,142,-173,138,ff000000
T,88,150,-173,138,-158,134,ff000000
T,88,150,-158,134,-139,131,ff000000
T,88,150,-139,131,-116,128,ff000000
T,88,150,-116,128,-91,125,ff000000
T,88,150,-91,125,-62,122,ff000000
T,88,150,-62,122,-31,121,ff000000
T,88,150,-31,121,1,119,ff000000
T,88,150,1,119,35,118,ff000000
T,88,150,35,118,70,118,ff000000
T,88,150,70,118,105,118,ff000000
T,88,150,105,118,140,118,ff000000
T,88,150,140,118,174,119,ff000000
T,88,150,174,119,207,121,ff000000
T,88,150,207,121,238,122,ff000000
T,88,150,238,122,267,125,ff000000
T,88,150,267,125,292,128,ff000000
T,88,150,292,128,315,131,ff000000
T,88,150,315,131,334,134,ff000000
T,88,150,334,134,349,138,ff000000
T,88,150,349,138,360,142,ff000000
T,88,150,360,142,366,145,ff000000
T,88,150,366,145,369,150,ff000000
